Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783194458000;2026-07-04T19:47:38Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194458000;2026-07-04T19:47:38Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194458599;2026-07-04T19:47:38.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194459199;2026-07-04T19:47:39.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194459599;2026-07-04T19:47:39.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194460199;2026-07-04T19:47:40.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194460599;2026-07-04T19:47:40.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194461199;2026-07-04T19:47:41.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194461599;2026-07-04T19:47:41.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194462199;2026-07-04T19:47:42.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194462599;2026-07-04T19:47:42.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194463199;2026-07-04T19:47:43.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194463199;2026-07-04T19:47:43.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194463599;2026-07-04T19:47:43.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194463599;2026-07-04T19:47:43.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194464199;2026-07-04T19:47:44.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194464199;2026-07-04T19:47:44.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194464799;2026-07-04T19:47:44.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194464799;2026-07-04T19:47:44.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194465199;2026-07-04T19:47:45.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194465199;2026-07-04T19:47:45.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194465799;2026-07-04T19:47:45.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194465799;2026-07-04T19:47:45.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194466199;2026-07-04T19:47:46.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194466199;2026-07-04T19:47:46.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194466799;2026-07-04T19:47:46.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194466799;2026-07-04T19:47:46.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194467199;2026-07-04T19:47:47.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194467199;2026-07-04T19:47:47.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194467799;2026-07-04T19:47:47.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194467799;2026-07-04T19:47:47.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194468199;2026-07-04T19:47:48.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194468199;2026-07-04T19:47:48.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194468799;2026-07-04T19:47:48.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194468799;2026-07-04T19:47:48.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194469199;2026-07-04T19:47:49.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194469199;2026-07-04T19:47:49.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194469799;2026-07-04T19:47:49.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194469799;2026-07-04T19:47:49.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194470199;2026-07-04T19:47:50.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194470199;2026-07-04T19:47:50.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194470799;2026-07-04T19:47:50.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194470799;2026-07-04T19:47:50.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194471199;2026-07-04T19:47:51.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194471199;2026-07-04T19:47:51.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194471799;2026-07-04T19:47:51.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194471799;2026-07-04T19:47:51.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194472199;2026-07-04T19:47:52.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194472199;2026-07-04T19:47:52.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194472799;2026-07-04T19:47:52.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194472799;2026-07-04T19:47:52.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194473199;2026-07-04T19:47:53.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194473199;2026-07-04T19:47:53.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194473799;2026-07-04T19:47:53.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194473799;2026-07-04T19:47:53.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194474199;2026-07-04T19:47:54.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194474199;2026-07-04T19:47:54.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194474799;2026-07-04T19:47:54.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194474799;2026-07-04T19:47:54.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194475199;2026-07-04T19:47:55.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194475199;2026-07-04T19:47:55.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194475799;2026-07-04T19:47:55.799Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783194475799;2026-07-04T19:47:55.799Z;1;1;314;-1.0;-1.0
