Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783972027000;2026-07-13T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972027000;2026-07-13T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972027599;2026-07-13T19:47:07.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972028199;2026-07-13T19:47:08.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972028599;2026-07-13T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972029199;2026-07-13T19:47:09.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972029599;2026-07-13T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972030199;2026-07-13T19:47:10.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972030599;2026-07-13T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972031199;2026-07-13T19:47:11.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972031599;2026-07-13T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972032199;2026-07-13T19:47:12.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972032599;2026-07-13T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972033199;2026-07-13T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972033199;2026-07-13T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972033599;2026-07-13T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972033599;2026-07-13T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972034199;2026-07-13T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972034199;2026-07-13T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972034599;2026-07-13T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972034599;2026-07-13T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972035199;2026-07-13T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972035199;2026-07-13T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972035599;2026-07-13T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972035599;2026-07-13T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972036199;2026-07-13T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972036199;2026-07-13T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972036599;2026-07-13T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972036599;2026-07-13T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972037199;2026-07-13T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783972037199;2026-07-13T19:47:17.199Z;1;1;314;-1.0;-1.0
