Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783367257000;2026-07-06T19:47:37Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367257000;2026-07-06T19:47:37Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367257599;2026-07-06T19:47:37.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367258000;2026-07-06T19:47:38Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367258599;2026-07-06T19:47:38.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367259199;2026-07-06T19:47:39.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367259599;2026-07-06T19:47:39.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367260199;2026-07-06T19:47:40.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367260599;2026-07-06T19:47:40.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367261199;2026-07-06T19:47:41.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367261599;2026-07-06T19:47:41.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367261599;2026-07-06T19:47:41.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367262199;2026-07-06T19:47:42.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367262199;2026-07-06T19:47:42.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367262599;2026-07-06T19:47:42.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367262599;2026-07-06T19:47:42.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367263199;2026-07-06T19:47:43.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367263199;2026-07-06T19:47:43.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367263599;2026-07-06T19:47:43.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367263599;2026-07-06T19:47:43.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367264199;2026-07-06T19:47:44.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367264199;2026-07-06T19:47:44.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367264599;2026-07-06T19:47:44.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367264599;2026-07-06T19:47:44.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367265199;2026-07-06T19:47:45.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367265199;2026-07-06T19:47:45.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367265599;2026-07-06T19:47:45.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367265599;2026-07-06T19:47:45.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367266199;2026-07-06T19:47:46.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367266199;2026-07-06T19:47:46.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367266599;2026-07-06T19:47:46.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367266599;2026-07-06T19:47:46.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367267199;2026-07-06T19:47:47.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367267199;2026-07-06T19:47:47.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367267599;2026-07-06T19:47:47.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367267599;2026-07-06T19:47:47.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367268199;2026-07-06T19:47:48.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367268199;2026-07-06T19:47:48.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367268599;2026-07-06T19:47:48.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367268599;2026-07-06T19:47:48.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367269199;2026-07-06T19:47:49.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367269199;2026-07-06T19:47:49.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367269599;2026-07-06T19:47:49.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367269599;2026-07-06T19:47:49.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367270199;2026-07-06T19:47:50.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367270199;2026-07-06T19:47:50.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367270599;2026-07-06T19:47:50.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367270599;2026-07-06T19:47:50.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367271199;2026-07-06T19:47:51.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783367271199;2026-07-06T19:47:51.199Z;1;1;314;-1.0;-1.0
