Speed(m/s);Position(m);Time(ms);Time(Instant);Section;Km;Meter;XPosition;YPosition
0.0;2314.8439912566837;1783799227000;2026-07-11T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799227000;2026-07-11T19:47:07Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799227599;2026-07-11T19:47:07.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799228000;2026-07-11T19:47:08Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799228599;2026-07-11T19:47:08.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229000;2026-07-11T19:47:09Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229599;2026-07-11T19:47:09.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799229999;2026-07-11T19:47:09.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799230599;2026-07-11T19:47:10.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799230999;2026-07-11T19:47:10.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799231599;2026-07-11T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799231599;2026-07-11T19:47:11.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799231999;2026-07-11T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799231999;2026-07-11T19:47:11.999Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799232599;2026-07-11T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799232599;2026-07-11T19:47:12.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233199;2026-07-11T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233199;2026-07-11T19:47:13.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233599;2026-07-11T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799233599;2026-07-11T19:47:13.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234199;2026-07-11T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234199;2026-07-11T19:47:14.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234599;2026-07-11T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799234599;2026-07-11T19:47:14.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799235199;2026-07-11T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799235199;2026-07-11T19:47:15.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799235599;2026-07-11T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799235599;2026-07-11T19:47:15.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799236199;2026-07-11T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799236199;2026-07-11T19:47:16.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799236599;2026-07-11T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799236599;2026-07-11T19:47:16.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799237199;2026-07-11T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799237199;2026-07-11T19:47:17.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799237599;2026-07-11T19:47:17.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799237599;2026-07-11T19:47:17.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799238199;2026-07-11T19:47:18.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799238199;2026-07-11T19:47:18.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799238599;2026-07-11T19:47:18.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799238599;2026-07-11T19:47:18.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799239199;2026-07-11T19:47:19.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799239199;2026-07-11T19:47:19.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799239599;2026-07-11T19:47:19.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799239599;2026-07-11T19:47:19.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799240199;2026-07-11T19:47:20.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799240199;2026-07-11T19:47:20.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799240599;2026-07-11T19:47:20.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799240599;2026-07-11T19:47:20.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799241199;2026-07-11T19:47:21.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799241199;2026-07-11T19:47:21.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799241599;2026-07-11T19:47:21.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799241599;2026-07-11T19:47:21.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799242199;2026-07-11T19:47:22.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799242199;2026-07-11T19:47:22.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799242599;2026-07-11T19:47:22.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799242599;2026-07-11T19:47:22.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799243199;2026-07-11T19:47:23.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799243199;2026-07-11T19:47:23.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799243599;2026-07-11T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799243599;2026-07-11T19:47:23.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799244199;2026-07-11T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799244199;2026-07-11T19:47:24.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799244599;2026-07-11T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799244599;2026-07-11T19:47:24.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799245199;2026-07-11T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799245199;2026-07-11T19:47:25.199Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799245599;2026-07-11T19:47:25.599Z;1;1;314;-1.0;-1.0
0.0;2314.8439912566837;1783799245599;2026-07-11T19:47:25.599Z;1;1;314;-1.0;-1.0
